symbol,current_price,trend,trend_strength,last_high,last_high_date,last_low,last_low_date,resistance,support,dist_to_resistance_%,dist_to_support_%,structure_summary
DBC,23.0049991607666,consolidating,0.5,22.850000381469727,2025-10-09,22.549999237060547,2025-10-30,22.850000381469727,22.549999237060547,-0.6737612908120182,1.97783064683621,Converging pattern - potential breakout or breakdown
AIZ,227.64999389648438,volatile,0.3,223.64999389648438,2025-10-07,206.02999877929688,2025-10-29,223.64999389648438,206.02999877929688,-1.7570832889276755,9.497033031777026,Mixed signals - Higher High but Lower Low
INBX,80.08000183105469,volatile,0.3,86.63999938964844,2025-11-05,28.15999984741211,2025-10-23,86.63999938964844,28.15999984741211,8.191804955790861,64.83516582976428,Mixed signals - Higher High but Lower Low
GM,71.80999755859375,volatile,0.3,70.23999786376953,2025-10-29,54.33000183105469,2025-10-14,70.23999786376953,54.33000183105469,-2.1863246737241138,24.342008525033254,Mixed signals - Higher High but Lower Low
PHG,29.059999465942383,volatile,0.3,29.290000915527344,2025-10-27,26.1299991607666,2025-10-28,29.290000915527344,26.1299991607666,0.7914709353471154,10.082588984936738,Mixed signals - Higher High but Lower Low
YUMC,46.10499954223633,bullish,0.45317174960785483,47.04999923706055,2025-08-25,41.689998626708984,2025-10-08,47.04999923706055,41.689998626708984,2.0496685917077473,9.575969980181446,"Price above mid-range, testing resistance at $47.05"
SEDG,36.79999923706055,consolidating,0.5,41.72999954223633,2025-10-24,30.260000228881836,2025-11-05,41.72999954223633,30.260000228881836,13.39674023745869,17.771736803712777,Converging pattern - potential breakout or breakdown
PDD,134.4199981689453,volatile,0.3,139.41000366210938,2025-10-29,118.7699966430664,2025-09-02,139.41000366210938,118.7699966430664,3.7122493387422835,11.642614000194566,Mixed signals - Higher High but Lower Low
KO,71.5999984741211,bullish,0.8780095691010692,71.62000274658203,2025-10-22,67.66000366210938,2025-11-03,71.62000274658203,67.66000366210938,0.027938928613480053,5.502786167566442,Higher High ($71.62) and Higher Low ($67.66) - Strong Uptrend
PTCT,75.06999969482422,breakout,0.85,69.4800033569336,2025-10-16,57.7400016784668,2025-09-25,69.4800033569336,57.7400016784668,-7.446378527527865,23.08511800560492,Breaking out above resistance at $69.48
CHRW,151.74000549316406,bullish,1.0,158.6999969482422,2025-10-30,125.3499984741211,2025-10-23,158.6999969482422,125.3499984741211,4.586787401554216,17.391594875243264,Higher High ($158.70) and Higher Low ($125.35) - Strong Uptrend
RIVN,16.379899978637695,bullish,0.7777407100635605,16.170000076293945,2025-09-26,12.390000343322754,2025-11-04,16.170000076293945,12.390000343322754,-1.2814480101679304,24.35851037258152,"Price above mid-range, testing resistance at $16.17"
MAR,290.3949890136719,volatile,0.3,276.79998779296875,2025-10-22,256.760009765625,2025-10-31,276.79998779296875,256.760009765625,-4.681555031951006,11.582492990766907,Mixed signals - Higher High but Lower Low
APH,135.4199981689453,breakout,0.85,126.05999755859375,2025-09-23,105.30407881122444,2025-09-02,126.05999755859375,105.30407881122444,-6.91183040681654,22.238901022690378,Breaking out above resistance at $126.06
NET,214.1199951171875,volatile,0.3,260.0,2025-11-03,203.50999450683594,2025-10-17,260.0,203.50999450683594,21.427239832367103,4.955165725902772,Mixed signals - Higher High but Lower Low
JPM,312.4049987792969,consolidating,0.5,312.1199951171875,2025-10-15,290.5400085449219,2025-10-22,312.1199951171875,290.5400085449219,-0.0912289058187318,6.9989245754104745,Converging pattern - potential breakout or breakdown
PH,844.8250122070312,bullish,2.537532463840127,770.4738413006174,2025-10-06,713.8263309478231,2025-10-10,770.4738413006174,713.8263309478231,-8.800777655976106,15.50601359647078,"Price above mid-range, testing resistance at $770.47"
ISRG,567.8800048828125,volatile,0.3,552.5,2025-10-23,427.8399963378906,2025-10-14,552.5,427.8399963378906,-2.7083194954163443,24.660140758754213,Mixed signals - Higher High but Lower Low
STT,119.25,bullish,0.692375592589361,119.33000183105469,2025-10-29,104.63999938964844,2025-10-17,119.33000183105469,104.63999938964844,0.06708748935403563,12.251572838869235,"Price above mid-range, testing resistance at $119.33"
HTHT,44.86000061035156,bullish,2.7337814309482478,40.560001373291016,2025-09-29,37.599998474121094,2025-10-30,40.560001373291016,37.599998474121094,-9.585374896469151,16.18368710979287,"Price above mid-range, testing resistance at $40.56"
