symbol,date,entry_price,atr,atr_period,atr_mult_stop,atr_mult_limit,stop_loss_price,stop_loss_pct,take_profit_price,take_profit_pct,ema9,ema30,macd,macd_signal,macd_hist,trend_positive
XOM,2025-10-22,114.71,2.0641,14,2.0,3.0,110.5818,3.599,120.9022,5.398,112.81920743909944,112.62318534035806,0.08908702361424048,0.056096834318821676,0.032990189295418804,True
HCA,2025-10-22,441.19,8.7993,14,2.0,3.0,423.5913,3.989,467.588,5.983,428.4920662591816,419.10457408604793,6.054916581790621,5.3030805678879505,0.751836013902671,True
GM,2025-10-22,67.31,2.1625,14,2.0,3.0,62.985,6.425,73.7975,9.638,60.99887628830348,59.036242622345334,1.110634361970014,0.21299249479261764,0.8976418671773965,True
EXPE,2025-10-22,226.39,8.7178,14,2.0,3.0,208.9544,7.702,252.5434,11.552,220.19772751907644,217.3143484081959,1.6242936743640541,1.0719502369257796,0.5523434374382745,True
MMM,2025-10-22,167.23,4.4543,14,2.0,3.0,158.3214,5.327,180.593,7.991,158.1939741979713,155.72856227318434,1.3830205888981197,0.04409387129489567,1.338926717603224,True
TAL,2025-10-22,12.26,0.4828,14,2.0,3.0,11.2944,7.876,13.7084,11.814,11.54062880577586,11.150076589355121,0.23287236241861464,0.07153418207492485,0.1613381803436898,True
PEP,2025-10-22,153.03,3.0207,14,2.0,3.0,146.9886,3.948,162.0921,5.922,151.15307439624485,146.78767931257778,2.8479401232118278,1.8130270032760318,1.034913119935796,True
APLS,2025-10-22,28.14,1.42,14,2.0,3.0,25.3,10.092,32.4,15.139,26.103040365033383,24.96798021801623,0.6743189836022729,0.1752052469271877,0.49911373667508524,True
HUM,2025-10-22,287.72,12.0028,14,2.0,3.0,263.7143,8.343,323.7286,12.515,280.6290469692641,276.00751632072723,2.737220139708654,0.8813170992053961,1.8559030405032582,True
DUK,2025-10-22,129.03,1.9355,14,2.0,3.0,125.1591,3.0,134.8364,4.5,127.7705863239813,125.21799776051147,1.7088338138259331,1.386952490043839,0.3218813237820941,True
EQIX,2025-10-22,829.05,15.7048,14,2.0,3.0,797.6404,3.789,876.1644,5.683,816.5836962120229,800.8674006154642,10.477605616486699,7.600926836941909,2.8766787795447897,True
CRM,2025-10-22,256.64,9.6721,14,2.0,3.0,237.2958,7.537,285.6563,11.306,250.17332536156871,246.3884707588758,2.2608952858093687,0.05034072057457045,2.210554565234798,True
TEL,2025-10-22,229.1,6.0681,14,2.0,3.0,216.9638,5.297,247.3043,7.946,224.7229416260817,219.00315018701906,3.7143029897191298,3.4165054435075426,0.29779754621158716,True
NGG,2025-10-22,76.9,1.0471,14,2.0,3.0,74.8057,2.723,80.0414,4.085,75.69356811320694,73.63461479172155,1.3786981602258237,1.0911328081616862,0.28756535206413747,True
EXC,2025-10-22,48.11,0.7344,14,2.0,3.0,46.6413,3.053,50.3131,4.579,47.549800097125605,46.022994689324975,1.0403729272715196,0.9021741342241336,0.13819879304738603,True
RTX,2025-10-22,177.98,4.5853,14,2.0,3.0,168.8095,5.153,191.7358,7.729,165.7327229327256,162.4067211601224,1.9927756350597008,1.0245313280099055,0.9682443070497952,True
FOLD,2025-10-22,8.55,0.3275,14,2.0,3.0,7.895,7.661,9.5325,11.491,8.322018376444186,8.112197670188792,0.13189030701970772,0.12214746360432838,0.009742843415379343,True
REG,2025-10-22,72.6,1.0965,14,2.0,3.0,70.407,3.021,75.8896,4.531,72.04837816033518,71.7516504389496,0.1813194322826348,0.06332277349027547,0.11799665879235934,True
AXP,2025-10-22,352.0,9.6028,14,2.0,3.0,332.7943,5.456,380.8085,8.184,341.4342765852999,333.20741244967,4.945148449654425,2.4014887788568884,2.543659670797537,True
REGN,2025-10-22,584.74,18.2278,14,2.0,3.0,548.2845,6.234,639.4233,9.352,576.9984586676908,575.1473394181187,0.9757020124047813,0.3252778240180729,0.6504241883867083,True
